feature,importance
POI购物,0.13285856
vegetation,0.108563215
容积率,0.10419658
POI体育,0.09778813
railway_m,0.09471172
Land50234,0.09459163
POI生活,0.09153346
POI公司,0.0896361
POI医疗,0.08883878
Land03,0.08488326
building_M,0.08197388
nighttime_,0.07944015
POI餐饮,0.07866301
sky_MEAN,0.07743233
建筑密,0.074159026
sidewalk_M,0.072182246
Land02,0.064490266
Subway_m,0.06266079
SUM,0.059443958
LENGTH,0.059424657
POI科教,0.05846132
Land505,0.057080805
MEAN,0.05651964
POI政府,0.053239655
high_grade,0.047903657
Land01,0.0329719
POI风景,0.032929603
SUM_1,0.03264173
car_road_m,0.031363778
NDVI_MEAN,0.030622063
POI商务,0.026327983
不透水,0.025270628
LENGTH_1,0.020767905
PNT_COUNT,0.015423936
