feature,importance
容积率,0.20883496
railway_m,0.1812695
Land50234,0.17438452
POI购物,0.17433229
Land505,0.16071382
POI公司,0.15848732
POI风景,0.15575266
Land03,0.15095627
Subway_m,0.15082687
建筑密,0.13433714
nighttime_,0.13311577
vegetation,0.12532228
SUM,0.12503803
POI科教,0.12227633
POI体育,0.12030696
Land01,0.115906686
building_M,0.11406171
POI政府,0.11315856
SUM_1,0.111095786
POI商务,0.10883349
sidewalk_M,0.10645367
Land02,0.10633431
LENGTH,0.10227561
MEAN,0.10171949
LENGTH_1,0.09702786
PNT_COUNT,0.095630944
POI医疗,0.09213351
不透水,0.08390603
POI生活,0.08083641
high_grade,0.08049935
sky_MEAN,0.08007518
POI餐饮,0.07501943
car_road_m,0.061233502
NDVI_MEAN,0.05590433
