feature,importance
Land505,0.4493691
PNT_COUNT,0.4403419
Subway_m,0.43397626
容积率,0.43046734
POI体育,0.3762285
LENGTH_1,0.37607723
Land50234,0.3650236
railway_m,0.32570744
vegetation,0.32460517
POI购物,0.31084642
sidewalk_M,0.30760306
POI科教,0.30637556
sky_MEAN,0.30278337
Land01,0.29534203
SUM_1,0.29497004
POI政府,0.27788356
建筑密,0.25283423
SUM,0.2521944
building_M,0.24929057
LENGTH,0.24782754
POI医疗,0.24569169
Land02,0.23799708
POI公司,0.237525
POI餐饮,0.23718902
POI风景,0.2365157
POI商务,0.22939627
nighttime_,0.22570771
Land03,0.20815834
不透水,0.20573935
high_grade,0.19960025
MEAN,0.18977563
car_road_m,0.18594831
POI生活,0.18250152
NDVI_MEAN,0.08157495
