feature,importance
Land01,0.7986184
容积率,0.5630106
PNT_COUNT,0.55548495
MEAN,0.5333796
POI购物,0.48837376
不透水,0.4839252
Land03,0.46473062
POI生活,0.46456945
建筑密,0.4398949
NDVI_MEAN,0.40331042
POI餐饮,0.40203252
POI商务,0.38480762
POI公司,0.3846407
POI政府,0.36041307
SUM,0.35188937
Land50234,0.33855027
Land505,0.33623797
Subway_m,0.3285183
POI科教,0.31383634
railway_m,0.28268874
POI体育,0.2804459
POI风景,0.26246732
high_grade,0.23924732
building_M,0.2195845
LENGTH_1,0.20374972
Land02,0.19986556
sidewalk_M,0.19611087
LENGTH,0.18821259
car_road_m,0.16556185
POI总数,0.15790194
SUM_1,0.156527
POI医疗,0.14634925
vegetation,0.04408498
