feature,importance
不透水,0.76768446
POI商务,0.7066554
Land01,0.6110224
MEAN,0.6018447
建筑密,0.5721505
POI科教,0.5580553
POI体育,0.5465975
Land03,0.49969894
POI生活,0.49189937
POI公司,0.4480604
car_road_m,0.44445568
POI风景,0.43550408
容积率,0.42256707
Land505,0.4112099
Subway_m,0.38918728
POI购物,0.3442005
POI总数,0.32953453
POI餐饮,0.3273139
SUM,0.31831056
POI医疗,0.31091747
NDVI_MEAN,0.30818772
Land50234,0.29914597
LENGTH_1,0.26367396
PNT_COUNT,0.25748605
vegetation,0.25234005
railway_m,0.23275049
Land02,0.21925738
POI政府,0.21232317
LENGTH,0.19829491
SUM_1,0.19418937
sidewalk_M,0.16566144
high_grade,0.15561026
building_M,0.1307632
